date;rf
1995-01-01;42,4100693000
1995-02-01;46,6141715000
1995-03-01;49,7112379000
1995-04-01;84,5738082000
1995-05-01;59,3658450000
1995-06-01;56,6283210000
1995-07-01;57,1723525000
1995-08-01;49,9515642000
1995-09-01;38,9662613000
1995-10-01;41,6740920000
1995-11-01;35,8772110000
1995-12-01;36,2310632000
1996-01-01;32,5887523000
1996-02-01;28,5354970000
1996-03-01;28,4276798000
1996-04-01;25,4450968000
1996-05-01;25,1296551000
1996-06-01;24,2923344000
1996-07-01;23,7718454000
1996-08-01;24,9197997000
1996-09-01;24,3966935000
1996-10-01;23,2535274000
1996-11-01;24,5011399000
1996-12-01;23,4605947000
1997-01-01;23,0468061000
1997-02-01;22,6343989000
1997-03-01;20,5929229000
1997-04-01;20,3906464000
1997-05-01;23,1501236000
1997-06-01;21,1000962000
1997-07-01;20,8969724000
1997-08-01;20,9984919000
1997-09-01;22,5800000000
1997-10-01;21,4800000000
1997-11-01;42,3200000000
1997-12-01;38,3200000000
1998-01-01;36,6100000000
1998-02-01;35,5500000000
1998-03-01;29,8600000000
1998-04-01;23,1300000000
1998-05-01;24,0200000000
1998-06-01;22,2300000000
1998-07-01;20,59
1998-08-01;19,59
1998-09-01;19,08
1998-10-01;40,6
1998-11-01;42,7
1998-12-01;34,2
1999-01-01;29,04
1999-02-01;38,79
1999-03-01;37,7800000000
1999-04-01;27,5000000000
1999-05-01;23,0700000000
1999-06-01;22,9200000000
1999-07-01;20,94
1999-08-01;22,3100000000
1999-09-01;21,3600000000
1999-10-01;20,6100000000
1999-11-01;23,0700000000
1999-12-01;20,6200000000
2000-01-01;19,3200000000
2000-02-01;20,0000000000
2000-03-01;18,2100000000
2000-04-01;20,1300000000
2000-05-01;20,2900000000
2000-06-01;18,6700000000
2000-07-01;17,8000000000
2000-08-01;17,2500000000
2000-09-01;17,2200000000
2000-10-01;17,6400000000
2000-11-01;18,4400000000
2000-12-01;17,1000000000
2001-01-01;15,6100000000
2001-02-01;16,1800000000
2001-03-01;15,9800000000
2001-04-01;15,9800000000
2001-05-01;20,5700000000
2001-06-01;20,7000000000
2001-07-01;21,8800000000
2001-08-01;22,6000000000
2001-09-01;22,8600000000
2001-10-01;23,1800000000
2001-11-01;24,8000000000
2001-12-01;20,3500000000
2002-01-01;19,7500000000
2002-02-01;19,0100000000
2002-03-01;18,5400000000
2002-04-01;19,1400000000
2002-05-01;18,9100000000
2002-06-01;18,9000000000
2002-07-01;21,4900000000
2002-08-01;18,4300000000
2002-09-01;19,4500000000
2002-10-01;19,8500000000
2002-11-01;20,9
2002-12-01;21,9
2003-01-01;24,9
2003-02-01;28,7800000000
2003-03-01;27,1600000000
2003-04-01;24,1600000000
2003-05-01;24,5160000000
2003-06-01;22,5249493234
2003-07-01;21,5320000000
2003-08-01;20,1210000000
2003-09-01;18,6200000000
2003-10-01;17,6800000000
2003-11-01;16,4290000000
2003-12-01;15,7670000000
2004-01-01;15,4190000000
2004-02-01;16,0430000000
2004-03-01;15,5460000000
2004-04-01;15,8200000000
2004-05-01;18,1470000000
2004-06-01;16,7280000000
2004-07-01;17,3600000000
2004-08-01;18,1370000000
2004-09-01;17,6860000000
2004-10-01;18,2380000000
2004-11-01;18,3460000000
2004-12-01;18,1740000000
2005-01-01;18,8880000000
2005-02-01;19,0170000000
2005-03-01;19,7680000000
2005-04-01;19,9320000000
2005-05-01;19,6730000000
2005-06-01;19,3560000000
2005-07-01;18,9360000000
2005-08-01;18,8610000000
2005-09-01;18,6830000000
2005-10-01;17,8240000000
2005-11-01;17,1320000000
2005-12-01;17,0450000000
2006-01-01;16,1900000000
2006-02-01;14,9550000000
2006-03-01;15,3990000000
2006-04-01;14,8230000000
2006-05-01;14,9350000000
2006-06-01;14,7300000000
2006-07-01;14,4430000000
2006-08-01;14,3260000000
2006-09-01;13,6140000000
2006-10-01;13,1960000000
2006-11-01;13,1800000000
2006-12-01;12,7300000000
2007-01-01;12,4500000000
2007-02-01;12,2600000000
2007-03-01;11,7700000000
2007-04-01;10,8900000000
2007-05-01;10,5000000000
2007-06-01;11,1180000000
2007-07-01;10,9970000000
2007-08-01;11,5020000000
2007-09-01;11,0460000000
2007-10-01;11,5280000000
2007-11-01;11,3282000000
2007-12-01;12,6202000000
2008-01-01;12,8036000000
2008-02-01;11,5498000000
2008-03-01;11,8778000000
2008-04-01;13,2458000000
2008-05-01;14,4384000000
2008-06-01;13,8878000000
2008-07-01;14,8942000000
2008-08-01;14,7847000000
2008-09-01;14,4885714286
2008-10-01;14,4920000000
2008-11-01;14,5844000000
2008-12-01;13,1599000000
2009-01-01;11,6900000000
2009-02-01;11,1200000000
2009-03-01;9,9890000000
2009-04-01;9,9890000000
2009-05-01;9,4199000000
2009-06-01;8,8800000000
2009-07-01;9,5898000000
2009-08-01;8,7896000000
2009-09-01;8,8606000000
2009-10-01;9,7200000000
2009-11-01;9,7048000000
2009-12-01;8,6744000000
2010-01-01;10,8882000000
2010-02-01;10,8904000000
2010-03-01;10,9199000000
2010-04-01;10,4691000000
2010-05-01;10,5464000000
2010-06-01;10,8473000000
2010-07-01;10,9968000000
2010-08-01;10,8280000000
2010-09-01;10,8174000000
2010-10-01;11,2466000000
2010-11-01;11,7586000000
2010-12-01;10,9613000000
2011-01-01;12,6842000000
2011-02-01;12,7650000000
2011-03-01;12,0713000000
2011-04-01;12,2288000000
2011-05-01;12,2923000000
2011-06-01;12,3410000000
2011-07-01;12,5240000000
2011-08-01;11,9080000000
2011-09-01;10,6175000000
2011-10-01;10,4899000000
2011-11-01;9,9505000000
2011-12-01;10,0767000000
2012-01-01;9,8589000000
2012-02-01;9,3174000000
2012-03-01;8,9862000000
2012-04-01;8,4999000000
2012-05-01;7,9716000000
2012-06-01;7,6076000000
2012-07-01;7,2953000000
2012-08-01;8,2770000000
2012-09-01;7,5788000000
2012-10-01;7,2399000000
2012-11-01;7,1409000000
2012-12-01;7,0357000000
2013-01-01;7,3737000000
2013-02-01;7,8862000000
2013-03-01;8,0275000000
2013-04-01;7,7476000000
2013-05-01;8,0224000000
2013-06-01;8,6295000000
2013-07-01;9,0100000000
2013-08-01;10,2779000000
2013-09-01;10,1777000000
2013-10-01;9,9838000000
2013-11-01;10,1783000000
2013-12-01;10,5595000000
2014-01-01;11,9399000000
2014-02-01;11,2757000000
2014-03-01;11,5092000000
2014-04-01;11,3251000000
2014-05-01;11,1667000000
2014-06-01;10,9004000000
2014-07-01;10,9307000000
2014-08-01;11,3251000000
2014-09-01;11,6598000000
2014-10-01;11,6777000000
2014-11-01;11,8799000000
2014-12-01;12,8928000000
2015-01-01;12,6768000000
2015-02-01;13,2199000000
2015-03-01;13,6740000000
2015-04-01;13,6275000000
2015-05-01;13,7900000000
2015-06-01;14,0799000000
2015-07-01;14,1650000000
2015-08-01;14,2725000000
2015-09-01;15,2022000000
2015-10-01;15,2552000000
2015-11-01;15,3218000000
2015-12-01;14,6346000000
2016-01-01;14,6340000000
2016-02-01;13,5540000000
2016-03-01;13,8614000000
2016-04-01;13,9350000000
2016-05-01;13,9821000000
2016-06-01;13,6140000000
2016-07-01;13,6910000000
2016-08-01;13,6674000000
2016-09-01;13,3671000000
2016-10-01;12,5727000000
2016-11-01;12,3966000000
2016-12-01;12,2700000000
2017-01-01;10,7447000000
2017-02-01;10,0616000000
2017-03-01;10,2771000000
2017-04-01;9,8839000000
2017-05-01;11,0799000000
2017-06-01;11,7515000000
2017-07-01;9,5267000000
2017-08-01;7,6146000000
2017-09-01;7,1322000000
2017-10-01;7,0838000000
2017-11-01;6,8020000000
2017-12-01;6,7314000000
2018-01-01;9,2838000000
2018-02-01;6,6976000000
2018-03-01;6,1764000000
2018-04-01;6,1400000000
2018-05-01;6,4489000000
2018-06-01;10,0740000000
2018-07-01;6,9472000000
2018-08-01;8,1955000000
2018-09-01;7,8964000000
2018-10-01;7,1172000000
2018-11-01;6,4022000000
2018-12-01;6,3324000000
2019-01-01;6,4995000000
2019-02-01;6,5843000000
2019-03-01;6,5080000000
2019-04-01;8,4754000000
2019-05-01;7,8445000000
2019-06-01;6,2432000000
2019-07-01;6,5758000000
2019-08-01;5,5882000000
2019-09-01;6,3432000000
2019-10-01;4,4765000000
2019-11-01;4,5261000000
2019-12-01;4,4842000000
2020-01-01;4,2402000000
2020-02-01;3,9608000000
2020-03-01;3,3784000000
2020-04-01;3,0123000000
2020-05-01;2,5338000000
2020-06-01;2,2309000000
2020-07-01;2,1007000000
2020-08-01;2,2247000000
2020-09-01;2,2044000000
2020-10-01;3,1099000000
2020-11-01;2,1247000000
2020-12-01;2,0036000000
2021-01-01;3,0099000000
2021-02-01;3,1419000000
2021-03-01;4,1399000000
2021-04-01;5,6700000000
2021-05-01;6,0723000000
2021-06-01;6,7824000000
2021-07-01;6,8899000000
2021-08-01;7,5336000000
2021-09-01;8,8751000000
2021-10-01;11,3636000000
2021-11-01;11,8250000000
2021-12-01;10,0586000000
2022-01-01;12,0788000000
2022-02-01;12,2963000000
2022-03-01;12,7749000000
2022-04-01;13,0709000000
2022-05-01;13,4349000000
2022-06-01;13,4772000000
2022-07-01;13,9443000000
2022-08-01;13,7452000000
