;1 Percentil;2 Percentil;3 Percentil;4 Percentil;5 Percentil
01/01/1995;;;;;
01/02/1995;-0.017;-0.071;0.003;-0.081;-0.081
01/03/1995;-0.101;-0.057;-0.085;-0.095;-0.099
01/04/1995;-0.011;-0.044;-0.034;-0.104;-0.086
01/05/1995;0.047;0.046;0.004;0.031;0.134
01/06/1995;0.004;0.076;0.019;-0.043;-0.029
01/07/1995;-0.062;-0.065;-0.059;-0.041;0.007
01/08/1995;0.002;-0.073;0.034;-0.01;0
01/09/1995;0.028;0.013;0.026;0.031;0.027
01/10/1995;-0.026;-0.029;0.015;-0.026;-0.035
01/11/1995;-0.101;-0.086;-0.091;-0.082;-0.065
01/12/1995;-0.043;-0.034;-0.063;-0.111;-0.062
01/01/1996;-0.025;-0.062;-0.037;-0.061;-0.022
01/02/1996;0.037;0.128;0.093;0.116;0.185
01/03/1996;0.004;0.071;-0.001;0.015;-0.017
01/04/1996;0.058;-0.031;-0.06;-0.08;0.035
01/05/1996;-0.016;-0.026;0.021;0.021;-0.04
01/06/1996;0.027;0.036;-0.02;0.053;0.003
01/07/1996;0.062;0.081;0.057;0.038;0.05
01/08/1996;0.064;-0.025;0.007;-0.018;-0.047
01/09/1996;0.017;0.136;-0.047;-0.014;0.017
01/10/1996;0.128;0.035;0.021;0.021;-0.015
01/11/1996;-0.047;0.023;-0.009;0.018;0.019
01/12/1996;0.032;-0.047;0.05;0.113;-0.016
01/01/1997;0.015;0.02;0.003;0.031;0.05
01/02/1997;0.107;0.146;0.038;0.057;0.092
01/03/1997;0.074;0.044;0.076;0.048;0.075
01/04/1997;0.034;-0.03;0.029;-0.005;0.007
01/05/1997;0.073;-0.04;0.045;0.037;0.026
01/06/1997;0.066;0.011;0.074;0.001;0.015
01/07/1997;0.05;0.132;0.128;0.126;0.138
01/08/1997;0.001;-0.049;0.022;0.019;0.013
01/09/1997;0.008;-0.024;-0.041;0.003;-0.081
01/10/1997;0.041;-0.039;0.042;0.098;0.128
01/11/1997;-0.078;-0.074;-0.108;-0.137;-0.186
01/12/1997;-0.042;-0.08;-0.12;-0.115;-0.043
01/01/1998;-0.018;-0.035;-0.009;0.066;0.029
01/02/1998;-0.004;-0.113;-0.082;-0.081;-0.055
01/03/1998;-0.027;0.059;0.072;0.081;0.063
01/04/1998;0.117;0.099;0.155;0.102;0.08
01/05/1998;0.065;0.06;0.092;0.051;0.011
01/06/1998;-0.018;-0.095;-0.079;-0.132;-0.182
01/07/1998;-0.007;0.023;-0.105;-0.032;-0.027
01/08/1998;-0.06;-0.025;0.029;0.028;-0.011
01/09/1998;-0.06;-0.172;-0.241;-0.256;-0.253
01/10/1998;-0.068;-0.097;-0.037;-0.11;-0.079
01/11/1998;0.043;0.087;-0.006;0.072;0.109
01/12/1998;0.109;-0.034;0.052;0.007;0.156
01/01/1999;0.063;-0.095;-0.022;-0.023;-0.111
01/02/1999;0.202;0.127;0.069;0.124;0.236
01/03/1999;0.021;0.046;0.029;0.017;-0.01
01/04/1999;0.12;0.102;0.123;0.195;0.145
01/05/1999;0.005;0.098;0.046;0.05;0.044
01/06/1999;0.09;0.087;-0.001;-0.003;-0.063
01/07/1999;0.081;0.116;0.03;0.041;0.109
01/08/1999;0.114;0.014;-0.043;-0.057;-0.08
01/09/1999;0.117;0.023;0.063;0.123;0.025
01/10/1999;0.005;0.077;-0.009;0.035;0.004
01/11/1999;0.151;0.219;0.091;0.064;0.11
01/12/1999;0.089;0.117;0.176;0.166;0.142
01/01/2000;0.059;0.13;0.23;0.216;0.183
01/02/2000;0.089;0.096;0.013;0.053;0.012
01/03/2000;0.082;-0.013;0.03;0.035;0.009
01/04/2000;-0.025;-0.034;-0.019;0.019;-0.032
01/05/2000;-0.021;-0.011;-0.054;-0.05;-0.107
01/06/2000;0.001;-0.024;0.003;0.013;0.008
01/07/2000;0.186;0.052;0.031;0.151;0.09
01/08/2000;0.065;0.088;0.041;0.02;-0.014
01/09/2000;0.017;0.086;0.055;0.084;0.05
01/10/2000;-0.005;-0.067;-0.064;-0.06;-0.091
01/11/2000;0.013;0.073;-0.025;-0.029;-0.043
01/12/2000;0.016;-0.021;-0.062;-0.067;-0.053
01/01/2001;0.114;0.08;0.025;0.069;0.087
01/02/2001;0.049;0.093;0.091;0.085;0.156
01/03/2001;0.011;0.008;0.036;-0.011;-0.017
01/04/2001;-0.013;-0.013;-0.021;-0.066;-0.126
01/05/2001;0.006;-0.061;-0.013;-0.005;0.042
01/06/2001;0.005;-0.026;-0.058;-0.034;-0.026
01/07/2001;0.037;-0.019;0.032;0.011;-0.001
01/08/2001;-0.063;-0.009;-0.008;-0.046;-0.033
01/09/2001;-0.039;-0.004;-0.039;-0.035;-0.038
01/10/2001;-0.055;-0.037;-0.125;-0.164;-0.144
01/11/2001;0.076;0.073;0.072;0.133;0.106
01/12/2001;0.081;0.049;0.124;0.114;0.158
01/01/2002;0.002;0.011;0.021;0.013;0.044
01/02/2002;0.076;-0.018;0.027;-0.02;-0.041
01/03/2002;0.033;0.03;0.073;0.062;0.088
01/04/2002;-0.02;-0.015;0.004;-0.009;-0.039
01/05/2002;0.036;-0.014;-0.039;-0.063;-0.033
01/06/2002;-0.037;0.005;-0.039;-0.001;0.001
01/07/2002;0.007;-0.036;0.005;-0.059;-0.064
01/08/2002;0;0.002;0.01;-0.051;-0.059
01/09/2002;0.017;0.021;0.029;0.004;0.042
01/10/2002;0.009;-0.011;-0.034;-0.044;-0.079
01/11/2002;0.055;0.083;0.06;0.058;0.111
01/12/2002;0.063;0.026;-0.001;0.016;0.011
01/01/2003;0.045;0.051;0.035;0.057;0.078
01/02/2003;0.031;-0.003;-0.023;-0.038;-0.031
